"Participant","Experiment_StartDate","Experiment_Duration","Mobile","Gender","Age","SexualOrientation","Ethnicity","DemandCharcateristics_Condition","Fiction_Expectations","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","BAIT_2_ImagesIssues_rev","BAIT_3_VideosIssues_rev","BAIT_8_TextIssues_rev","BAIT_13_ArtIssues_rev","BAIT_9_Dangerous_rev","BAIT_10_Worry_rev","BAIT_Images","BAIT_Videos","BAIT_Text","BAIT_Art","BAIT_Attitude","BAIT_Reality","BAIT_total","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","MIST_totalcorrect","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","BRS_Total","Questionnaires_AttentionCheck","Task_AttentionCheck"
"S132","2025-09-30 18:19:21",21.5423333333333,"false","Woman",20,"Bisexual","White","Self Expectations","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,3,NA,NA,NA,NA,4,"A few times per month",0,5,2,5,3,4,6,4,4,5,0,1,3,5,3,2,1,1,0,1,2,3.5,2,2,0,2,2,1.91666666666667,65,97,70,-92,-100,22,76,91,2,1,3,4,2,2,4,1,2,5,3,4,2,3,1,4,3,1,2,1,1,4,2.6,1,1
"S130","2025-09-30 18:19:09",22.2843833333333,"false","Woman",20,"Heterosexual","Black","More attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",2,4,3,4,4,4,3,4,4,4,3,1,3,5,5,2,2,2,3,2,2,3.5,3.5,2.5,3,2.75,3,3.04166666666667,-96,48,98,51,80,-45,45,-38,7,3,3,5,3,3,4,3,3,5,4,4,5,3,1,4,3,5,3,4,3,4,3.7,1,1
"S063","2025-09-30 09:25:45",41.3490333333333,"false","Man",20,"Prefer not to say","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"The sliders used to rate attractiveness, beauty and symmetry made it difficult/confusing to accurately express my answers at times",2,"A few times per month",0,1,4,2,4,2,5,4,4,6,0,1,3,5,6,4,5,0,1,4,2,4.5,5.5,1.5,0.5,3.5,2,2.91666666666667,-100,100,100,100,63,-100,31,-100,7,1,1,2,1,1,1,1,1,3,2,1,1,2,1,3,3,3,1,1,1,1,1.55,1,0.777777777777778
"S275","2025-10-03 11:13:56",21.6950666666667,"false","Woman",20,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",5,4,3,6,3,2,6,6,4,4,2,1,4,5,4,4,2,2,0,0,0,4.5,3,3,1,1.5,4.5,2.91666666666667,-91,58,21,51,-73,-69,48,-45,6,1,3,5,2,1,2,3,1,3,3,4,4,2,1,2,3,1,2,2,1,2,2.35,1,0.666666666666667
"S042","2025-09-29 13:24:57",23.0302,"false","Woman",20,"Bisexual","White","Self Expectations","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,"A few times per month",2,2,1,5,1,2,6,5,3,4,2,1,3,6,6,4,4,2,0,1,1,5,5,2.5,1,1,2.5,2.83333333333333,-95,70,75,-80,-10,-75,-20,-95,6,1,2,5,4,3,4,3,2,4,2,4,5,2,1,3,1,1,3,3,1,3,2.8,1,1
"S266","2025-10-02 14:23:42",18.4141166666667,"false","Woman",19,"Homosexual","White","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,NA,4,NA,NA,NA,NA,3,"A few times per month",2,4,0,6,2,5,6,6,1,4,1,1,2,4,3,1,2,2,0,0,0,2.5,2.5,2,0.5,0.5,1.5,1.58333333333333,-42,25,62,-38,85,39,39,-100,5,2,4,5,4,2,4,3,3,4,4,4,5,5,1,5,2,3,4,2,1,4,3.5,1,0.888888888888889
"S009","2025-09-29 13:19:09",26.0599166666667,"false","Woman",20,"Heterosexual","White","More attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",3,4,2,3,1,3,6,3,5,3,2,1,1,2,6,3,2,3,0,3,3,2.5,4,2,1,2.25,4,2.625,-89,-15,-51,-39,-27,-52,-5,-95,4,1,1,5,1,1,4,1,2,5,5,2,5,5,1,3,1,2,5,3,1,5,2.9,1,1
"S245","2025-10-02 14:17:32",22.4409666666667,"false","Woman",19,"Bisexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,2,"Never",1,5,0,5,0,4,6,6,3,6,0,1,0,3,4,2,1,0,0,1,0,2.5,2.5,0,0,0.25,2,1.20833333333333,-96,58,69,21,-37,-56,23,-82,6,1,4,5,2,2,2,1,1,5,5,5,2,5,1,2,2,2,2,1,1,5,2.75,1,0.888888888888889
"S070","2025-09-30 16:09:33",26.75295,"false","Woman",21,"Bisexual","White","More attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per month",2,3,5,5,5,4,6,5,3,5,0,1,4,4,5,2,3,1,0,1,1,3,4,2.5,0,3,2.5,2.5,-80,64,56,-1,77,19,24,-88,5,2,2,4,3,2,5,5,2,4,5,4,4,4,1,3,3,4,4,4,2,2,3.4,1,0.777777777777778
"S044","2025-09-29 13:25:37",22.1898666666667,"false","Woman",20,"Heterosexual","Mixed","Self Expectations","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"Once a day",2,3,4,0,4,3,6,4,5,6,4,1,2,5,6,3,3,0,0,6,2,4,4.5,1,2,4,3.5,3.16666666666667,64,20,61,56,-47,-68,70,90,4,4,3,5,2,4,4,2,2,5,5,4,4,5,1,4,3,2,2,2,2,3,3.35,1,0.666666666666667
"S249","2025-10-02 14:17:39",23.3543333333333,"false","Woman",20,"Bisexual","White","Less attractive","I have no expectations",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",2,2,3,6,1,3,5,6,2,5,3,1,3,6,4,3,4,1,1,0,0,4.5,4,2,2,1,2,2.58333333333333,-22,42,37,18,-23,30,16,27,4,1,1,2,1,1,1,1,1,3,2,2,3,3,1,2,1,1,2,1,1,2,1.6,1,1
"S118","2025-09-30 18:18:12",19.2102833333333,"false","Man",20,"Homosexual","White","Control",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",1,4,0,5,1,2,4,6,3,4,0,1,4,5,5,4,2,2,2,1,0,4.5,3.5,3,1,0.5,2,2.41666666666667,-100,49,50,10,-19,-65,-25,-100,7,2,2,4,3,1,1,2,1,2,4,4,4,4,1,1,2,2,3,1,1,4,2.4,1,0.888888888888889
"S305","2025-10-03 14:16:39",27.1060833333333,"false","Woman",19,"Homosexual","White","More attractive","I have no expectations",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"Never",0,4,1,5,0,4,6,6,2,3,0,1,4,4,2,2,2,3,0,1,0,3,2,3.5,0,0.5,1,1.66666666666667,-30,50,10,50,-21,40,-50,10,5,2,3,4,2,2,2,2,2,4,4,4,3,3,1,3,3,4,2,2,2,2,2.75,1,1
"S197","2025-10-02 09:19:17",17.5402666666667,"false","Woman",20,"Bisexual","White","Control",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"A few times per week",2,5,5,4,5,1,4,2,5,3,5,1,4,6,3,5,1,3,2,2,4,5.5,2,3.5,3.5,4,3.5,3.66666666666667,-37,75,-29,27,24,31,-56,29,5,3,3,1,2,4,4,3,3,5,5,4,5,4,1,1,2,2,4,3,3,4,3.25,1,0.666666666666667
