"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","SexualOrientation","Ethnicity","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","Task_AttentionCheck"
"S120",2025-09-30 18:19:21,21.5423333333333,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",20,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,3,NA,NA,NA,NA,4,"A few times per month",0,5,2,5,3,4,6,4,4,5,0,6,3,5,3,65,97,70,-92,-100,22,76,91,1,3,4,2,2,4,1,2,5,3,4,2,3,1,4,3,1,2,1,1,4,1
"S063",2025-09-30 09:25:45,41.3490333333333,"firefox 143.0.0","false","Windows 10",1536,864,"Man",20,"Prefer not to say","White",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"The sliders used to rate attractiveness, beauty and symmetry made it difficult/confusing to accurately express my answers at times",2,"A few times per month",0,1,4,2,4,2,5,4,4,6,0,6,3,5,6,-100,100,100,100,63,-100,31,-100,1,1,2,1,1,1,1,1,3,2,1,1,2,1,3,3,3,1,1,1,1,0.777777777777778
"S042",2025-09-29 13:24:57,23.0302,"safari 18.6.0","false","Mac OS",1180,763,"Female",20,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,"A few times per month",2,2,1,5,1,2,6,5,3,4,2,6,3,6,6,-95,70,75,-80,-10,-75,-20,-95,1,2,5,4,3,4,3,2,4,2,4,5,2,1,3,1,1,3,3,1,3,1
"S009",2025-09-29 13:19:09,26.0599166666667,"chrome 140.0.0","false","Windows 10",1536,864,"Female",20,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",3,4,2,3,1,3,6,3,5,3,2,6,1,2,6,-89,-15,-51,-39,-27,-52,-5,-95,1,1,5,1,1,4,1,2,5,5,2,5,5,1,3,1,2,5,3,1,5,1
"S070",2025-09-30 16:09:33,26.75295,"safari 16.5.0","false","Mac OS",1470,840,"Woman",21,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per month",2,3,5,5,5,4,6,5,3,5,0,6,4,4,5,-80,64,56,-1,77,19,24,-88,2,2,4,3,2,5,5,2,4,5,4,4,4,1,3,3,4,4,4,2,2,0.777777777777778
"S044",2025-09-29 13:25:37,22.1898666666667,"safari 26.0.0","false","Mac OS",1440,900,"Female",20,"Heterosexual","Mixed",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"Once a day",2,3,4,0,4,3,6,4,5,6,4,6,2,5,6,64,20,61,56,-47,-68,70,90,4,3,5,2,4,4,2,2,5,5,4,4,5,1,4,3,2,2,2,2,3,0.666666666666667
"S114",2025-09-30 18:18:12,19.2102833333333,"firefox 143.0.0","false","Mac OS",1366,768,"Man",20,"Homosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",1,4,0,5,1,2,4,6,3,4,0,6,4,5,5,-100,49,50,10,-19,-65,-25,-100,2,2,4,3,1,1,2,1,2,4,4,4,4,1,1,2,2,3,1,1,4,0.888888888888889
"S097",2025-09-30 16:15:30,17.7954,"chrome 140.0.0","false","Windows 10",1920,1080,"Man",19,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"A few times per week",2,3,3,3,4,3,6,2,2,3,0,6,3,5,5,37,64,-56,-37,-81,28,39,100,1,1,1,1,1,4,1,1,5,5,5,1,3,1,3,1,1,3,1,1,2,0.555555555555556
"S072",2025-09-30 16:10:58,21.47755,"crios 141.0.7390","true","iOS",1376,1032,"Woman",20,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,4,2,NA,NA,NA,NA,2,"A few times per week",1,4,3,3,4,5,6,3,3,6,5,6,0,2,2,-29,0,-36,-45,-2,-14,5,-30,1,3,3,3,1,3,1,1,3,3,1,3,1,1,3,2,3,2,2,1,3,0.888888888888889
"S094",2025-09-30 16:15:15,27.3704166666667,"firefox 143.0.0","false","Windows 10",1536,864,"Non-binary",21,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"Never",2,6,1,5,1,3,6,6,2,5,0,6,1,4,2,-84,81,86,69,-40,-50,40,-78,2,1,4,4,2,2,2,2,4,3,4,3,3,1,4,2,2,3,1,2,2,1
