"Item","Participant","Condition","Trial1","PresentationTime","CueColor","ScreenWidth","ScreenHeight","Attractiveness","Beauty","Symmetry","Trial2","Reality"
"038_03.jpg","S132","Photograph",1,1845,"Green",1536,864,-64,-85,37,1,28
"025_03.jpg","S132","AI-Generated",2,1181,"Red",1536,864,-46,34,-18,2,-94
"042_03.jpg","S132","Photograph",3,1750,"Green",1536,864,-15,48,73,3,18
"124_03.jpg","S132","Photograph",4,1635,"Green",1536,864,25,81,77,4,-97
"083_03.jpg","S132","AI-Generated",5,3378,"Red",1536,864,-100,7,-30,5,-100
"104_03.jpg","S132","Photograph",6,810,"Green",1536,864,25,-21,62,6,-72
"121_03.jpg","S132","AI-Generated",7,758,"Red",1536,864,-96,-71,-39,7,-58
"097_03.jpg","S132","Photograph",8,1699,"Green",1536,864,-28,-16,88,8,-15
"102_03.jpg","S132","Photograph",9,880,"Green",1536,864,-33,-58,-29,9,30
"030_03.jpg","S132","Photograph",10,3539,"Green",1536,864,26,50,80,10,21
"033_03.jpg","S132","Photograph",11,1382,"Green",1536,864,-46,-17,-67,11,58
"027_03.jpg","S132","Photograph",12,1617,"Green",1536,864,-83,47,48,12,19
"017_03.jpg","S132","AI-Generated",13,3451,"Red",1536,864,-67,-80,45,13,-73
"143_03.jpg","S132","AI-Generated",14,1687,"Red",1536,864,-88,-79,-96,14,-13
"136_03.jpg","S132","AI-Generated",15,2194,"Red",1536,864,-67,-66,84,15,-87
"068_03.jpg","S132","AI-Generated",16,1215,"Red",1536,864,-95,-58,25,16,27
"087_03.jpg","S132","Photograph",17,1190,"Green",1536,864,10,-24,78,17,-100
"096_03.jpg","S132","AI-Generated",18,1178,"Red",1536,864,-94,25,34,18,-56
"005_03.jpg","S132","Photograph",19,2193,"Green",1536,864,-53,-77,94,19,-43
"125_03.jpg","S132","AI-Generated",20,3441,"Red",1536,864,-93,-95,95,20,-42
"009_03.jpg","S132","AI-Generated",21,2609,"Red",1536,864,-90,19,-100,21,-100
"041_03.jpg","S132","Photograph",22,1323,"Green",1536,864,-68,-32,-13,22,7
"004_03.jpg","S132","AI-Generated",23,1444,"Red",1536,864,-94,-69,-98,23,-100
"021_03.jpg","S132","Photograph",24,2460,"Green",1536,864,-57,28,72,24,27
"100_03.jpg","S132","AI-Generated",25,1059,"Red",1536,864,-96,61,61,25,-60
"032_03.jpg","S132","AI-Generated",26,2039,"Red",1536,864,-94,-24,44,26,-79
"013_03.jpg","S132","AI-Generated",27,2701,"Red",1536,864,-44,21,88,27,-60
"141_03.jpg","S132","AI-Generated",28,2015,"Red",1536,864,-100,-86,72,28,-100
"108_03.jpg","S132","Photograph",29,887,"Green",1536,864,-23,30,-53,29,-82
"172_03.jpg","S132","Photograph",30,878,"Green",1536,864,-27,-64,77,30,-14
"120_03.jpg","S132","Photograph",31,2424,"Green",1536,864,-98,-84,34,31,31
"020_03.jpg","S132","AI-Generated",32,2446,"Red",1536,864,-89,-94,-43,32,24
"101_03.jpg","S132","Photograph",33,3322,"Green",1536,864,-68,36,81,33,61
"112_03.jpg","S132","AI-Generated",34,2193,"Red",1536,864,-77,-29,22,34,-78
"070_03.jpg","S132","AI-Generated",35,879,"Red",1536,864,-95,-71,-20,35,-100
"010_03.jpg","S132","Photograph",36,2580,"Green",1536,864,-57,-27,-77,36,-100
"032_03.jpg","S130","Photograph",1,3321,"Green",1280,720,7,9,-30,1,56
"017_03.jpg","S130","Photograph",2,3303,"Green",1280,720,-7,13,-9,2,-18
"125_03.jpg","S130","AI-Generated",3,2987,"Blue",1280,720,-20,8,19,3,58
"141_03.jpg","S130","Photograph",4,2215,"Green",1280,720,-9,14,17,4,38
"042_03.jpg","S130","AI-Generated",5,2282,"Blue",1280,720,-11,10,17,5,-59
"070_03.jpg","S130","Photograph",6,2049,"Green",1280,720,-20,9,-16,6,-66
"121_03.jpg","S130","Photograph",7,1133,"Green",1280,720,-13,10,-26,7,-83
"013_03.jpg","S130","AI-Generated",8,2874,"Blue",1280,720,6,8,16,8,67
