"group","rater_sex","rater_sexpref","Stimulus","Mean","SD","N","face_sex","rank_low","rank_high","dist_med","rank_med","Item"
"female_raters_male_faces","female","men","X005",1.5036496350365,0.832000066659998,1096,"male",1,53,1.13488155901391,50,"005_03.jpg"
"female_raters_male_faces","female","men","X125",1.71806569343066,0.890273314592696,1096,"male",2,52,0.92046550061975,46,"125_03.jpg"
"female_raters_male_faces","female","men","X021",1.76551094890511,0.948315648791596,1096,"male",3,51,0.873020245145297,44,"021_03.jpg"
"female_raters_male_faces","female","men","X017",2.61222627737226,1.26498187684717,1096,"male",28,26,0.0263049166781437,2,"017_03.jpg"
"female_raters_male_faces","female","men","X096",2.65967153284672,1.48294951119092,1096,"male",29,25,0.0211403387963092,1,"096_03.jpg"
"female_raters_male_faces","female","men","X121",2.66879562043796,1.39299382272655,1096,"male",30,24,0.03026442638755,3,"121_03.jpg"
"female_raters_male_faces","female","men","X101",3.93613138686131,1.64844722759747,1096,"male",51,3,1.29760019281091,51,"101_03.jpg"
"female_raters_male_faces","female","men","X108",4.02189781021898,1.68893104788943,1096,"male",52,2,1.38336661616857,52,"108_03.jpg"
"female_raters_male_faces","female","men","X033",4.03284671532847,1.69091516067245,1096,"male",53,1,1.39431552127806,53,"033_03.jpg"
"male_raters_female_faces","male","women","X038",1.45632530120482,0.863831160650051,664,"female",1,49,1.9802065404475,48,"038_03.jpg"
"male_raters_female_faces","male","women","X020",2.15963855421687,1.07141546137778,664,"female",2,48,1.27689328743546,46,"020_03.jpg"
"male_raters_female_faces","male","women","X136",2.19126506024096,1.064091917965,664,"female",3,47,1.24526678141136,44,"136_03.jpg"
"male_raters_female_faces","male","women","X010",3.39759036144578,1.29218333630639,664,"female",23,27,0.0389414802065402,3,"010_03.jpg"
"male_raters_female_faces","male","women","X087",3.41265060240964,1.4965690953726,664,"female",24,26,0.023881239242685,2,"087_03.jpg"
"male_raters_female_faces","male","women","X032",3.45030120481928,1.42608744449101,664,"female",25,25,0.0137693631669538,1,"032_03.jpg"
"male_raters_female_faces","male","women","X009",4.70331325301205,1.44510027252511,664,"female",47,3,1.26678141135972,45,"009_03.jpg"
"male_raters_female_faces","male","women","X027",5.12198795180723,1.36157070147627,664,"female",48,2,1.68545611015491,47,"027_03.jpg"
"male_raters_female_faces","male","women","X124",5.63102409638554,1.44512542244539,664,"female",49,1,2.19449225473322,49,"124_03.jpg"
"female_raters_female_faces","female","men","X120",2.10127737226277,1.11271530641551,1096,"female",1,40,1.21998175182482,40,"120_03.jpg"
"female_raters_female_faces","female","men","X102",2.10310218978102,1.08343671549766,1096,"female",2,39,1.21815693430657,39,"102_03.jpg"
"female_raters_female_faces","female","men","X013",2.31021897810219,1.14538005793665,1096,"female",3,38,1.0110401459854,36,"013_03.jpg"
"female_raters_female_faces","female","men","X025",3.23083941605839,1.45827746880206,1096,"female",18,23,0.0904197080291973,3,"025_03.jpg"
"female_raters_female_faces","female","men","X083",3.34671532846715,1.49221669413899,1096,"female",19,22,0.0254562043795619,1,"083_03.jpg"
"female_raters_female_faces","female","men","X097",3.35857664233577,1.40256756715032,1096,"female",20,21,0.0373175182481753,2,"097_03.jpg"
"female_raters_female_faces","female","men","X100",4.14233576642336,1.62621099813205,1096,"female",38,3,0.821076642335766,33,"100_03.jpg"
"female_raters_female_faces","female","men","X112",4.40967153284672,1.57232268109062,1096,"female",39,2,1.08841240875912,37,"112_03.jpg"
"female_raters_female_faces","female","men","X030",4.44890510948905,1.6022640049856,1096,"female",40,1,1.12764598540146,38,"030_03.jpg"
"male_raters_male_faces","male","women","X143",1.93072289156627,1.05419742299755,664,"male",1,44,0.765710569550931,42,"143_03.jpg"
"male_raters_male_faces","male","women","X172",2.00301204819277,1.13626228032471,664,"male",2,43,0.693421412924425,41,"172_03.jpg"
"male_raters_male_faces","male","women","X070",2.08734939759036,1.09911093574742,664,"male",3,42,0.609084063526834,38,"070_03.jpg"
"male_raters_male_faces","male","women","X068",2.68072289156627,1.30685237372666,664,"male",22,23,0.0157105695509308,3,"068_03.jpg"
"male_raters_male_faces","male","women","X004",2.69879518072289,1.3784371744692,664,"male",23,22,0.00236171960569553,1,"004_03.jpg"
"male_raters_male_faces","male","women","X141",2.7078313253012,1.29118094430362,664,"male",24,21,0.0113978641840089,2,"141_03.jpg"
"male_raters_male_faces","male","women","X042",3.34036144578313,1.60742916695473,664,"male",42,3,0.643927984665936,40,"042_03.jpg"
"male_raters_male_faces","male","women","X104",3.47138554216867,1.64470736934296,664,"male",43,2,0.774952081051479,43,"104_03.jpg"
"male_raters_male_faces","male","women","X041",3.53765060240964,1.62329327238629,664,"male",44,1,0.841217141292443,44,"041_03.jpg"
